sequence,Total_Frames,Obs_Risk_Positive_Ratio,Prior_Risk_Positive_Ratio
bleach0_black10,663,77.22%,76.77%
bleach0_clean,663,2.41%,3.17%
bleach0_drop60,663,3.02%,3.47%
bleach0_occ40,663,4.37%,5.13%
bleach0_occ60,663,9.80%,10.11%
bleach_hard_00_03_chaitanya_black10,441,22.00%,20.86%
bleach_hard_00_03_chaitanya_clean,441,24.26%,24.04%
bleach_hard_00_03_chaitanya_drop60,441,24.04%,24.26%
bleach_hard_00_03_chaitanya_occ40,441,23.58%,24.26%
bleach_hard_00_03_chaitanya_occ60,441,24.26%,26.08%
mustard0_black10,737,86.16%,85.89%
mustard0_black10_2,737,0.41%,0.00%
mustard0_black10_3,737,1.09%,0.14%
mustard0_black10_4,737,89.82%,89.55%
mustard0_black10_5,737,7.19%,5.70%
mustard0_clean,737,0.00%,0.00%
mustard0_drop60,737,0.00%,0.00%
mustard0_occ40,737,32.97%,32.97%
mustard0_occ60,737,33.38%,32.84%
